"REF_DATE","VALUE","IR_lag1","IR_lag2"
"1992-12-01",53.5,8.82,7.37
"1993-01-01",53.5,7.36,8.82
"1993-02-01",53.5,6.81,7.36
"1993-03-01",53.5,6.09,6.81
"1993-04-01",53.9,5.36,6.09
"1993-05-01",53.9,5.6,5.36
"1993-06-01",53.9,5.1,5.6
"1993-07-01",53.9,4.79,5.1
"1993-08-01",53.9,4.41,4.79
"1993-09-01",54,4.9,4.41
"1993-10-01",54.1,4.9,4.9
"1993-11-01",54.2,4.63,4.9
"1993-12-01",54.2,4.36,4.63
"1994-01-01",54,4.11,4.36
"1994-02-01",54,3.88,4.11
"1994-03-01",54.2,4.1,3.88
"1994-04-01",54,5.64,4.1
"1994-05-01",54.2,6.07,5.64
"1994-06-01",54,6.31,6.07
"1994-07-01",54,6.92,6.31
"1994-08-01",54.1,6.04,6.92
"1994-09-01",54.3,5.6,6.04
"1994-10-01",54.3,5.54,5.6
"1994-11-01",54.5,5.62,5.54
"1994-12-01",54.5,6.04,5.62
"1995-01-01",54.5,7.43,6.04
"1995-02-01",54.7,8.38,7.43
"1995-03-01",54.7,8.38,8.38
"1995-04-01",54.7,8.47,8.38
"1995-05-01",54.6,8.17,8.47
"1995-06-01",54.7,7.64,8.17
"1995-07-01",54.7,6.97,7.64
"1995-08-01",54.7,6.87,6.97
"1995-09-01",54.7,6.59,6.87
"1995-10-01",54.5,6.71,6.59
"1995-11-01",54.4,7.65,6.71
"1995-12-01",54.4,6.07,7.65
"1996-01-01",54.4,5.79,6.07
"1996-02-01",54.2,5.37,5.79
"1996-03-01",54.3,5.5,5.37
"1996-04-01",54.2,5.25,5.5
"1996-05-01",54.4,5,5.25
"1996-06-01",54.6,5,5
"1996-07-01",54.7,5,5
"1996-08-01",54.7,4.75,5
"1996-09-01",54.7,4.25,4.75
"1996-10-01",54.6,4.25,4.25
"1996-11-01",54.6,3.5,4.25
"1996-12-01",54.8,3.25,3.5
"1997-01-01",54.7,3.25,3.25
"1997-02-01",54.7,3.25,3.25
"1997-03-01",54.7,3.25,3.25
"1997-04-01",54.5,3.25,3.25
"1997-05-01",54.2,3.25,3.25
"1997-06-01",54.3,3.25,3.25
"1997-07-01",54.3,3.25,3.25
"1997-08-01",54.5,3.5,3.25
"1997-09-01",54.5,3.5,3.5
"1997-10-01",54.5,3.5,3.5
"1997-11-01",54.5,3.75,3.5
"1997-12-01",54.5,4,3.75
"1998-01-01",54.6,4.5,4
"1998-02-01",54.8,4.5,4.5
"1998-03-01",54.8,5,4.5
"1998-04-01",54.8,5,5
"1998-05-01",54.7,5,5
"1998-06-01",54.7,5,5
"1998-07-01",54.7,5,5
"1998-08-01",54.7,5,5
"1998-09-01",54.7,5,5
"1998-10-01",54.8,5.75,5
"1998-11-01",54.8,5.5,5.75
"1998-12-01",54.8,5.25,5.5
"1999-01-01",54.9,5.25,5.25
"1999-02-01",55.2,5.25,5.25
"1999-03-01",55.5,5.25,5.25
"1999-04-01",55.5,5,5.25
"1999-05-01",55.6,5,5
"1999-06-01",55.8,4.75,5
"1999-07-01",55.8,4.75,4.75
"1999-08-01",56.1,4.75,4.75
"1999-09-01",56.2,4.75,4.75
"1999-10-01",56.5,4.75,4.75
"1999-11-01",56.7,4.75,4.75
"1999-12-01",56.7,5,4.75
"2000-01-01",56.8,5,5
"2000-02-01",56.9,5,5
"2000-03-01",57.1,5.25,5
"2000-04-01",57.4,5.5,5.25
"2000-05-01",57.7,5.5,5.5
"2000-06-01",57.6,6,5.5
"2000-07-01",57.6,6,6
"2000-08-01",58.4,6,6
"2000-09-01",58.8,6,6
"2000-10-01",58.9,6,6
"2000-11-01",59.1,6,6
"2000-12-01",59.1,6,6
"2001-01-01",59.4,6,6
"2001-02-01",60,5.75,6
"2001-03-01",60.1,5.75,5.75
"2001-04-01",60.4,5.25,5.75
"2001-05-01",60.7,5,5.25
"2001-06-01",61,4.75,5
"2001-07-01",61,4.75,4.75
