"REF_DATE","VALUE","IR_lag1","IR_lag2"
"2012-06-01",99.2,1.25,1.25
"2012-07-01",99.2,1.25,1.25
"2012-08-01",99.8,1.25,1.25
"2012-09-01",100.1,1.25,1.25
"2012-10-01",100.1,1.25,1.25
"2012-11-01",100.2,1.25,1.25
"2012-12-01",100.4,1.25,1.25
"2013-01-01",100.4,1.25,1.25
"2013-02-01",100.4,1.25,1.25
"2013-03-01",100.4,1.25,1.25
"2013-04-01",100.4,1.25,1.25
"2013-05-01",100.4,1.25,1.25
"2013-06-01",100.4,1.25,1.25
"2013-07-01",100.4,1.25,1.25
"2013-08-01",100.4,1.25,1.25
"2013-09-01",100.4,1.25,1.25
"2013-10-01",100.5,1.25,1.25
"2013-11-01",100.4,1.25,1.25
"2013-12-01",100.4,1.25,1.25
"2014-01-01",100.4,1.25,1.25
"2014-02-01",100.3,1.25,1.25
"2014-03-01",100.3,1.25,1.25
"2014-04-01",100.3,1.25,1.25
"2014-05-01",100.3,1.25,1.25
"2014-06-01",100.6,1.25,1.25
"2014-07-01",100.7,1.25,1.25
"2014-08-01",100.7,1.25,1.25
"2014-09-01",100.7,1.25,1.25
"2014-10-01",100.7,1.25,1.25
"2014-11-01",100.9,1.25,1.25
"2014-12-01",100.9,1.25,1.25
"2015-01-01",100.9,1.25,1.25
"2015-02-01",100.7,1,1.25
"2015-03-01",100.8,1,1
"2015-04-01",100.8,1,1
"2015-05-01",100.1,1,1
"2015-06-01",100.3,1,1
"2015-07-01",100.3,1,1
"2015-08-01",100.1,0.75,1
"2015-09-01",100.1,0.75,0.75
"2015-10-01",100.1,0.75,0.75
"2015-11-01",99.9,0.75,0.75
"2015-12-01",99.9,0.75,0.75
"2016-01-01",99.9,0.75,0.75
"2016-02-01",99.9,0.75,0.75
"2016-03-01",99.9,0.75,0.75
"2016-04-01",99.9,0.75,0.75
"2016-05-01",99.9,0.75,0.75
"2016-06-01",99.9,0.75,0.75
"2016-07-01",100.1,0.75,0.75
"2016-08-01",100.1,0.75,0.75
"2016-09-01",100,0.75,0.75
"2016-10-01",100.1,0.75,0.75
"2016-11-01",100.1,0.75,0.75
"2016-12-01",100,0.75,0.75
"2017-01-01",100.2,0.75,0.75
"2017-02-01",100.2,0.75,0.75
"2017-03-01",100.1,0.75,0.75
"2017-04-01",100.2,0.75,0.75
"2017-05-01",100.3,0.75,0.75
"2017-06-01",100.4,0.75,0.75
"2017-07-01",100.4,0.75,0.75
"2017-08-01",100.4,1,0.75
"2017-09-01",100.4,1,1
"2017-10-01",100.4,1.25,1
"2017-11-01",100.6,1.25,1.25
"2017-12-01",100.6,1.25,1.25
"2018-01-01",100.6,1.25,1.25
"2018-02-01",100.6,1.5,1.25
"2018-03-01",100.7,1.5,1.5
"2018-04-01",100.6,1.5,1.5
"2018-05-01",100.7,1.5,1.5
"2018-06-01",100.7,1.5,1.5
"2018-07-01",100.8,1.5,1.5
"2018-08-01",100.8,1.75,1.5
"2018-09-01",100.8,1.75,1.75
"2018-10-01",100.8,1.75,1.75
"2018-11-01",100.8,2,1.75
"2018-12-01",100.8,2,2
"2019-01-01",100.8,2,2
"2019-02-01",100.8,2,2
"2019-03-01",100.8,2,2
"2019-04-01",100.8,2,2
"2019-05-01",100.8,2,2
"2019-06-01",100.7,2,2
"2019-07-01",100.7,2,2
"2019-08-01",100.6,2,2
"2019-09-01",100.6,2,2
"2019-10-01",100.6,2,2
"2019-11-01",100.8,2,2
"2019-12-01",100.9,2,2
"2020-01-01",100.9,2,2
"2020-02-01",100.9,2,2
"2020-03-01",100.9,2,2
"2020-04-01",100.9,1,2
"2020-05-01",100.8,0.5,1
"2020-06-01",100.9,0.5,0.5
"2020-07-01",101,0.5,0.5
"2020-08-01",102.7,0.5,0.5
"2020-09-01",103.2,0.5,0.5
"2020-10-01",103.6,0.5,0.5
"2020-11-01",104.8,0.5,0.5
"2020-12-01",106,0.5,0.5
"2021-01-01",108.7,0.5,0.5
"2021-02-01",111.7,0.5,0.5
"2021-03-01",114.7,0.5,0.5
"2021-04-01",115.3,0.5,0.5
"2021-05-01",115.2,0.5,0.5
"2021-06-01",115.2,0.5,0.5
"2021-07-01",115.2,0.5,0.5
"2021-08-01",115.2,0.5,0.5
"2021-09-01",116.7,0.5,0.5
"2021-10-01",117,0.5,0.5
"2021-11-01",117.5,0.5,0.5
"2021-12-01",118.1,0.5,0.5
"2022-01-01",119.8,0.5,0.5
"2022-02-01",123.3,0.5,0.5
"2022-03-01",124,0.5,0.5
"2022-04-01",124,0.75,0.5
"2022-05-01",124.8,1.25,0.75
"2022-06-01",125.3,1.25,1.25
"2022-07-01",125.3,1.75,1.25
"2022-08-01",125.3,2.75,1.75
"2022-09-01",125.3,2.75,2.75
"2022-10-01",125.8,3.5,2.75
"2022-11-01",126.1,3.5,3.5
"2022-12-01",126.1,4,3.5
"2023-01-01",126.1,4.5,4
"2023-02-01",126.1,4.5,4.5
"2023-03-01",126.3,4.75,4.5
"2023-04-01",128.8,4.75,4.75
"2023-05-01",129.9,4.75,4.75
"2023-06-01",129.9,4.75,4.75
"2023-07-01",129.7,5,4.75
"2023-08-01",129.7,5.25,5
"2023-09-01",129.7,5.25,5.25
"2023-10-01",130.1,5.25,5.25
"2023-11-01",130.1,5.25,5.25
"2023-12-01",130.2,5.25,5.25
