"REF_DATE","VALUE","IR_lag1","IR_lag2"
"1996-01-01",50.6,5.79,6.07
"1996-02-01",50.1,5.37,5.79
"1996-03-01",50.2,5.5,5.37
"1996-04-01",50,5.25,5.5
"1996-05-01",49.9,5,5.25
"1996-06-01",50,5,5
"1996-07-01",50,5,5
"1996-08-01",50,4.75,5
"1996-09-01",49.9,4.25,4.75
"1996-10-01",50,4.25,4.25
"1996-11-01",50.1,3.5,4.25
"1996-12-01",50.1,3.25,3.5
"1997-01-01",50.3,3.25,3.25
"1997-02-01",50.4,3.25,3.25
"1997-03-01",50.5,3.25,3.25
"1997-04-01",50.9,3.25,3.25
"1997-05-01",51.1,3.25,3.25
"1997-06-01",51.1,3.25,3.25
"1997-07-01",51.3,3.25,3.25
"1997-08-01",51.3,3.5,3.25
"1997-09-01",51.4,3.5,3.5
"1997-10-01",51.4,3.5,3.5
"1997-11-01",52,3.75,3.5
"1997-12-01",52.1,4,3.75
"1998-01-01",52.2,4.5,4
"1998-02-01",52.3,4.5,4.5
"1998-03-01",52.3,5,4.5
"1998-04-01",52.5,5,5
"1998-05-01",52.7,5,5
"1998-06-01",52.8,5,5
"1998-07-01",52.9,5,5
"1998-08-01",52.9,5,5
"1998-09-01",53,5,5
"1998-10-01",53.1,5.75,5
"1998-11-01",53.3,5.5,5.75
"1998-12-01",53.2,5.25,5.5
"1999-01-01",53.3,5.25,5.25
"1999-02-01",53.4,5.25,5.25
"1999-03-01",53.4,5.25,5.25
"1999-04-01",53.5,5,5.25
"1999-05-01",53.5,5,5
"1999-06-01",53.5,4.75,5
"1999-07-01",53.5,4.75,4.75
"1999-08-01",53.6,4.75,4.75
"1999-09-01",53.9,4.75,4.75
"1999-10-01",54,4.75,4.75
"1999-11-01",54.4,4.75,4.75
"1999-12-01",54.5,5,4.75
"2000-01-01",54.5,5,5
"2000-02-01",54.8,5,5
"2000-03-01",54.9,5.25,5
"2000-04-01",55,5.5,5.25
"2000-05-01",55.1,5.5,5.5
"2000-06-01",55.1,6,5.5
"2000-07-01",55.2,6,6
"2000-08-01",55.3,6,6
"2000-09-01",55.3,6,6
"2000-10-01",55.4,6,6
"2000-11-01",55.7,6,6
"2000-12-01",55.8,6,6
"2001-01-01",55.8,6,6
"2001-02-01",55.9,5.75,6
"2001-03-01",56.2,5.75,5.75
"2001-04-01",56.3,5.25,5.75
"2001-05-01",56.3,5,5.25
"2001-06-01",56.5,4.75,5
"2001-07-01",56.6,4.75,4.75
"2001-08-01",56.7,4.5,4.75
"2001-09-01",56.8,4.25,4.5
"2001-10-01",56.8,3.75,4.25
"2001-11-01",57,3,3.75
"2001-12-01",57,2.5,3
"2002-01-01",57.1,2.5,2.5
"2002-02-01",57.6,2.25,2.5
"2002-03-01",57.6,2.25,2.25
"2002-04-01",57.9,2.25,2.25
"2002-05-01",58.3,2.5,2.25
"2002-06-01",58.3,2.5,2.5
"2002-07-01",58.4,2.75,2.5
"2002-08-01",58.7,3,2.75
"2002-09-01",58.7,3,3
"2002-10-01",59.1,3,3
"2002-11-01",59.4,3,3
"2002-12-01",59.5,3,3
"2003-01-01",59.6,3,3
"2003-02-01",59.9,3,3
"2003-03-01",60,3,3
"2003-04-01",60.2,3.25,3
"2003-05-01",60.8,3.5,3.25
"2003-06-01",60.9,3.5,3.5
"2003-07-01",61.2,3.5,3.5
"2003-08-01",61.6,3.25,3.5
"2003-09-01",61.8,3.25,3.25
"2003-10-01",62,3,3.25
